celsius,datasheet_raw,four_pl_raw,raw_error
-20,3674.70,3673.89,-0.81
-19,3653.70,3670.96,17.26
-18,3632.00,3665.60,33.60
-17,3609.60,3657.61,48.01
-16,3586.50,3646.89,60.39
-15,3562.60,3633.34,70.74
-14,3538.20,3616.93,78.73
-13,3512.80,3597.65,84.85
-12,3486.80,3575.50,88.70
-11,3460.10,3550.53,90.43
-10,3432.60,3522.78,90.18
-9,3404.20,3492.33,88.13
-8,3375.20,3459.28,84.08
-7,3345.30,3423.73,78.43
-6,3314.70,3385.80,71.10
-5,3283.30,3345.63,62.33
-4,3251.20,3303.36,52.16
-3,3218.10,3259.14,41.04
-2,3184.40,3213.13,28.73
-1,3149.90,3165.49,15.59
0,3114.60,3116.38,1.78
1,3077.60,3065.97,-11.63
2,3040.10,3014.42,-25.68
3,3001.50,2961.89,-39.61
4,2962.50,2908.54,-53.96
5,2923.00,2854.53,-68.47
6,2882.40,2800.00,-82.40
7,2841.60,2745.10,-96.50
8,2799.90,2689.97,-109.93
9,2758.10,2634.72,-123.38
10,2715.30,2579.49,-135.81
11,2672.10,2524.39,-147.71
12,2628.80,2469.52,-159.28
13,2585.00,2414.98,-170.02
14,2540.90,2360.85,-180.05
15,2496.60,2307.23,-189.37
16,2452.40,2254.18,-198.22
17,2407.00,2201.76,-205.24
18,2362.00,2150.05,-211.95
19,2317.70,2099.08,-218.62
20,2272.60,2048.91,-223.69
21,2226.80,1999.56,-227.24
22,2182.30,1951.09,-231.21
23,2136.60,1903.50,-233.10
24,2092.60,1856.83,-235.77
25,2047.50,1811.09,-236.41
26,2003.00,1766.29,-236.71
27,1958.80,1722.46,-236.34
28,1915.00,1679.58,-235.42
29,1871.40,1637.66,-233.74
30,1828.10,1596.71,-231.39
31,1785.40,1556.71,-228.69
32,1742.90,1517.67,-225.23
33,1701.10,1479.58,-221.52
34,1659.70,1442.42,-217.28
35,1618.90,1406.19,-212.71
36,1578.60,1370.87,-207.73
37,1538.80,1336.45,-202.35
38,1499.60,1302.92,-196.68
39,1461.20,1270.25,-190.95
40,1423.20,1238.44,-184.76
41,1386.10,1207.46,-178.64
42,1349.40,1177.30,-172.10
43,1313.60,1147.94,-165.66
44,1278.40,1119.37,-159.03
45,1243.90,1091.55,-152.35
46,1210.20,1064.49,-145.71
47,1177.10,1038.15,-138.95
48,1144.70,1012.52,-132.18
49,1113.10,987.58,-125.52
50,1082.20,963.31,-118.89
51,1052.00,939.70,-112.30
52,1022.50,916.72,-105.78
53,993.70,894.37,-99.33
54,965.70,872.61,-93.09
55,938.20,851.44,-86.76
56,911.50,830.85,-80.65
57,885.50,810.80,-74.70
58,860.10,791.29,-68.81
59,835.70,772.31,-63.39
60,811.60,753.83,-57.77
61,788.30,735.84,-52.46
62,765.50,718.33,-47.17
63,743.40,701.28,-42.12
64,722.10,684.68,-37.42
65,701.20,668.52,-32.68
66,680.80,652.78,-28.02
67,661.30,637.45,-23.85
68,642.20,622.53,-19.67
69,623.50,607.98,-15.52
70,605.40,593.82,-11.58
71,588.10,580.02,-8.08
72,571.20,566.57,-4.63
73,554.80,553.46,-1.34
74,538.80,540.69,1.89
75,523.30,528.24,4.94
76,508.20,516.10,7.90
77,493.70,504.26,10.56
78,479.40,492.73,13.33
79,466.00,481.47,15.47
80,452.70,470.50,17.80
81,439.70,459.79,20.09
82,427.30,449.35,22.05
83,415.10,439.16,24.06
84,403.50,429.22,25.72
85,392.10,419.51,27.41
86,381.40,410.04,28.64
87,370.70,400.80,30.10
88,360.50,391.77,31.27
89,350.60,382.96,32.36
90,341.00,374.36,33.36
91,331.60,365.95,34.35
92,322.50,357.74,35.24
93,313.70,349.72,36.02
94,305.20,341.89,36.69
95,296.90,334.23,37.33
96,288.80,326.75,37.95
97,280.90,319.44,38.54
98,273.30,312.29,38.99
99,265.90,305.30,39.40
100,258.70,298.47,39.77
101,252.00,291.79,39.79
102,245.40,285.26,39.86
103,239.00,278.87,39.87
104,232.70,272.62,39.92
105,226.60,266.50,39.90
106,220.60,260.52,39.92
107,214.80,254.67,39.87
108,209.10,248.94,39.84
109,203.50,243.33,39.83
110,198.10,237.84,39.74
111,192.80,232.47,39.67
112,187.70,227.20,39.50
113,182.70,222.05,39.35
114,177.80,217.01,39.21
115,173.00,212.06,39.06
116,168.40,207.22,38.82
117,164.00,202.48,38.48
118,159.60,197.83,38.23
119,155.40,193.28,37.88
120,151.20,188.82,37.62
121,147.30,184.45,37.15
122,143.40,180.16,36.76
123,139.60,175.96,36.36
124,136.00,171.84,35.84
125,132.40,167.80,35.40
