celsius,resistance_ohm,adc_raw_with_10k_series
-20,105384.69,3740.1
-19,99109.27,3719.7
-18,93252.39,3698.4
-17,87783.38,3676.2
-16,82673.95,3653.1
-15,77898.11,3629.1
-14,73431.86,3604.2
-13,69253.12,3578.3
-12,65341.48,3551.5
-11,61678.14,3523.7
-10,58245.71,3495.0
-9,55028.16,3465.3
-8,52010.63,3434.6
-7,49179.41,3403.0
-6,46521.80,3370.5
-5,44026.05,3337.0
-4,41681.25,3302.6
-3,39477.34,3267.3
-2,37404.94,3231.2
-1,35455.38,3194.1
0,33620.60,3156.2
1,31893.14,3117.5
2,30266.03,3078.0
3,28732.84,3037.8
4,27287.54,2996.8
5,25924.56,2955.1
6,24638.71,2912.8
7,23425.14,2869.9
8,22279.34,2826.4
9,21197.13,2782.4
10,20174.58,2737.9
11,19208.04,2693.0
12,18294.10,2647.7
13,17429.59,2602.1
14,16611.53,2556.2
15,15837.15,2510.1
16,15103.85,2463.8
17,14409.22,2417.4
18,13750.98,2370.9
19,13127.01,2324.3
20,12535.33,2277.9
21,11974.06,2231.4
22,11441.48,2185.2
23,10935.95,2139.0
24,10455.94,2093.1
25,10000.00,2047.5
26,9566.80,2002.2
27,9155.06,1957.2
28,8763.61,1912.6
29,8391.31,1868.4
30,8037.14,1824.7
31,7700.10,1781.5
32,7379.26,1738.7
33,7073.76,1696.6
34,6782.77,1655.0
35,6505.53,1614.0
36,6241.30,1573.7
37,5989.41,1533.9
38,5749.21,1494.9
39,5520.08,1456.5
40,5301.47,1418.8
41,5092.82,1381.8
42,4893.63,1345.5
43,4703.42,1309.9
44,4521.73,1275.1
45,4348.14,1241.0
46,4182.23,1207.6
47,4023.64,1174.9
48,3871.99,1143.0
49,3726.95,1111.8
50,3588.18,1081.4
51,3455.39,1051.6
52,3328.29,1022.6
53,3206.60,994.3
54,3090.07,966.7
55,2978.44,939.8
56,2871.48,913.5
57,2768.98,888.0
58,2670.72,863.1
59,2576.51,838.9
60,2486.16,815.4
61,2399.50,792.4
62,2316.34,770.1
63,2236.53,748.5
64,2159.93,727.4
65,2086.37,706.9
66,2015.74,687.0
67,1947.88,667.6
68,1882.70,648.8
69,1820.05,630.5
70,1759.84,612.8
71,1701.95,595.6
72,1646.28,578.9
73,1592.74,562.6
74,1541.24,546.9
75,1491.68,531.6
76,1443.99,516.7
77,1398.08,502.3
78,1353.88,488.3
79,1311.32,474.7
80,1270.32,461.6
81,1230.83,448.8
82,1192.77,436.4
83,1156.10,424.4
84,1120.75,412.7
85,1086.67,401.4
86,1053.81,390.4
87,1022.11,379.7
88,991.54,369.4
89,962.04,359.4
90,933.58,349.7
91,906.10,340.2
92,879.58,331.1
93,853.98,322.2
94,829.25,313.6
95,805.37,305.2
96,782.30,297.1
97,760.00,289.2
98,738.46,281.6
99,717.65,274.2
100,697.52,267.0
101,678.06,260.0
102,659.25,253.3
103,641.05,246.7
104,623.45,240.3
105,606.42,234.1
106,589.94,228.1
107,573.99,222.3
108,558.55,216.6
109,543.61,211.1
110,529.14,205.8
111,515.13,200.6
112,501.56,195.6
113,488.41,190.7
114,475.68,185.9
115,463.34,181.3
116,451.38,176.9
117,439.79,172.5
118,428.55,168.3
119,417.65,164.2
120,407.09,160.2
121,396.84,156.3
122,386.91,152.5
123,377.26,148.9
124,367.91,145.3
125,358.83,141.9
